training_row_id,run_id,festival_year,university_id,student_count,campus_scale,booth_id,menu_id,booth_zone,menu_category,price,observation_timestamp,target_window_end,festival_day,day_of_week,is_weekend,minutes_to_close,recent_sales_5m,recent_sales_30m,previous_sales_30m,recent_tickets_30m,current_stock,initial_stock,stockout_flag,booth_ticket_count_30m,booth_unique_menu_count_1m,precipitation_probability,temperature,event_ending_soon,discount_rate,discount_elapsed_minutes,discount_arm,assigned_discount_rate,future_sales_30m,future_latent_30m,censored_window_flag,data_class
2023-zero-univ-0,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-20T16:00:00,2023-05-20T16:30:00,1,5,1,359,0,0,0,0,131,131,0,1,1,0,20.7,0,0,0,1,20,4,4,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-1,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-20T16:30:00,2023-05-20T17:00:00,1,5,1,329,1,4,0,3,127,131,0,15,0,2,21.7,0,0,0,1,20,3,3,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-2,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-20T17:00:00,2023-05-20T17:30:00,1,5,1,299,2,3,4,2,124,131,0,10,1,0,20.0,0,0,0,1,20,23,23,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-3,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-20T17:30:00,2023-05-20T18:00:00,1,5,1,269,1,23,3,9,101,131,0,23,0,0,20.6,0,0,0,1,20,3,3,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-4,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-20T18:00:00,2023-05-20T18:30:00,1,5,1,239,2,3,23,2,98,131,0,19,2,1,19.7,0,20,0,1,20,9,9,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-5,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-20T18:30:00,2023-05-20T19:00:00,1,5,1,209,0,9,3,3,89,131,0,24,1,0,20.1,0,0,0,1,20,12,12,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-6,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-20T19:00:00,2023-05-20T19:30:00,1,5,1,179,0,12,9,4,77,131,0,25,1,0,18.7,1,0,0,1,20,15,15,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-7,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-20T19:30:00,2023-05-20T20:00:00,1,5,1,149,3,15,12,8,62,131,0,28,0,0,18.9,1,20,0,1,20,9,9,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-8,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-20T20:00:00,2023-05-20T20:30:00,1,5,1,119,0,9,15,5,53,131,0,21,0,0,18.2,0,20,30,1,20,21,21,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-9,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-20T20:30:00,2023-05-20T21:00:00,1,5,1,89,0,21,9,9,32,131,0,16,0,2,18.5,0,0,0,1,20,13,13,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-10,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-20T21:00:00,2023-05-20T21:30:00,1,5,1,59,5,13,21,6,19,131,0,19,1,0,17.8,0,20,0,1,20,4,4,0,SYNTHETIC_FINAL_TRAINING
2023-zero-univ-11,2023-zero-univ,2023,zero-univ,15000,1.0,B01,B01-M01,A,food,6000.0,2023-05-20T21:30:00,2023-05-20T22:00:00,1,5,1,29,0,4,13,3,15,131,0,9,0,1,17.0,0,0,0,1,20,15,15,0,SYNTHETIC_FINAL_TRAINING
