festival_id,festival_day,booth_id,menu_id,booth_zone,snapshot_timestamp,hour,minute_of_day,second_of_minute,minutes_to_close,is_weekend,day_of_week,menu_category,price_krw,initial_stock,current_stock,recent_sales_5m,recent_sales_30m,previous_sales_30m,recent_tickets_30m,discount_rate,discount_elapsed_minutes,discount_arm,assigned_discount_rate,temperature_c,rain_mm,crowd_index,performance_phase,event_ending_soon,next_30m_sales_qty,next_30m_latent_qty,censored_window_flag,minutes_to_stockout,expected_leftover_qty,stockout_flag,final_leftover_qty,bakery_calibration_source,data_class,booth_ticket_count_30m,booth_unique_menu_count_1m
zerofest-synthetic-2026,1,B01,B01-M01,A,2026-05-20T16:00:00,16,960,0,359,0,2,food,6000,124,124,0,0,0,0,0,0,0,0,23.2,0.02,0.266,normal,0,8,8,0,465,45,0,3,Kaggle French Bakery Daily Sales,SYNTHETIC_FEATURE_SNAPSHOT,0,0
zerofest-synthetic-2026,1,B01,B01-M01,A,2026-05-20T16:30:00,16,990,0,329,0,2,food,6000,124,116,0,8,0,4,0,0,0,0,24.1,0.0,0.218,normal,0,9,9,0,387,35,0,3,Kaggle French Bakery Daily Sales,SYNTHETIC_FEATURE_SNAPSHOT,13,0
zerofest-synthetic-2026,1,B01,B01-M01,A,2026-05-20T17:00:00,17,1020,0,299,0,2,food,6000,124,107,3,9,8,4,0,0,0,0,21.6,0.01,0.466,pre_stage,0,11,11,0,292,17,0,3,Kaggle French Bakery Daily Sales,SYNTHETIC_FEATURE_SNAPSHOT,13,2
zerofest-synthetic-2026,1,B01,B01-M01,A,2026-05-20T17:30:00,17,1050,0,269,0,2,food,6000,124,96,3,11,9,6,0,0,0,0,23.4,0.0,0.448,pre_stage,0,7,7,0,412,44,0,3,Kaggle French Bakery Daily Sales,SYNTHETIC_FEATURE_SNAPSHOT,20,1
zerofest-synthetic-2026,1,B01,B01-M01,A,2026-05-20T18:00:00,18,1080,0,239,0,2,food,6000,124,89,2,7,11,4,0,0,0,0,22.2,0.0,0.584,main_stage,0,4,4,0,668,63,0,3,Kaggle French Bakery Daily Sales,SYNTHETIC_FEATURE_SNAPSHOT,22,0
zerofest-synthetic-2026,1,B01,B01-M01,A,2026-05-20T18:30:00,18,1110,0,209,0,2,food,6000,124,85,0,4,7,2,0,0,0,0,22.9,0.0,0.585,main_stage,0,7,7,0,365,45,0,3,Kaggle French Bakery Daily Sales,SYNTHETIC_FEATURE_SNAPSHOT,24,0
zerofest-synthetic-2026,1,B01,B01-M01,A,2026-05-20T19:00:00,19,1140,0,179,0,2,food,6000,124,78,0,7,4,2,0,0,0,0,22.1,0.03,0.576,main_stage,1,24,24,0,98,0,0,3,Kaggle French Bakery Daily Sales,SYNTHETIC_FEATURE_SNAPSHOT,16,1
zerofest-synthetic-2026,1,B01,B01-M01,A,2026-05-20T19:30:00,19,1170,0,149,0,2,food,6000,124,54,9,24,7,10,0,0,0,0,22.4,0.0,0.563,main_stage,1,10,10,0,162,13,0,3,Kaggle French Bakery Daily Sales,SYNTHETIC_FEATURE_SNAPSHOT,32,1
zerofest-synthetic-2026,1,B01,B01-M01,A,2026-05-20T20:00:00,20,1200,0,119,0,2,food,6000,124,44,1,10,24,5,0,0,0,0,20.9,0.0,0.357,after_stage,0,15,15,0,88,0,0,3,Kaggle French Bakery Daily Sales,SYNTHETIC_FEATURE_SNAPSHOT,19,0
zerofest-synthetic-2026,1,B01,B01-M01,A,2026-05-20T20:30:00,20,1230,0,89,0,2,food,6000,124,29,7,15,10,7,0,0,0,0,22.4,0.0,0.355,after_stage,0,10,10,0,87,4,0,3,Kaggle French Bakery Daily Sales,SYNTHETIC_FEATURE_SNAPSHOT,23,1
zerofest-synthetic-2026,1,B01,B01-M01,A,2026-05-20T21:00:00,21,1260,0,59,0,2,food,6000,124,19,0,10,15,4,0,0,0,0,20.9,0.01,0.238,normal,0,10,10,0,57,3,0,3,Kaggle French Bakery Daily Sales,SYNTHETIC_FEATURE_SNAPSHOT,13,0
zerofest-synthetic-2026,1,B01,B01-M01,A,2026-05-20T21:30:00,21,1290,0,29,0,2,food,6000,124,9,0,10,10,5,0,0,0,0,19.7,0.02,0.223,normal,0,6,6,0,45,4,0,3,Kaggle French Bakery Daily Sales,SYNTHETIC_FEATURE_SNAPSHOT,16,1
