festival_id,booth_id,menu_id,booth_zone,menu_name,menu_category,base_price_krw,unit_cost_krw,initial_stock,stock_coverage,expected_daily_demand,booth_factor,menu_factor,data_class
zerofest-synthetic-2026,B01,B01-M01,A,닭꼬치,food,6000,2792,124,0.892,138.7,0.723,1.0,SYNTHETIC_MASTER
zerofest-synthetic-2026,B01,B01-M02,A,아이스티,drink,3500,1423,212,1.405,150.9,0.723,1.08,SYNTHETIC_MASTER
zerofest-synthetic-2026,B01,B01-M03,A,와플,dessert,4500,1980,122,1.192,102.6,0.723,0.74,SYNTHETIC_MASTER
zerofest-synthetic-2026,B01,B01-M04,A,닭꼬치,food,6000,2961,164,1.181,138.7,0.723,1.0,SYNTHETIC_MASTER
zerofest-synthetic-2026,B02,B02-M01,B,에이드,drink,4000,1865,243,1.152,211.3,0.994,1.1,SYNTHETIC_MASTER
zerofest-synthetic-2026,B02,B02-M02,B,츄러스,dessert,4000,2119,184,1.377,133.5,0.994,0.7,SYNTHETIC_MASTER
zerofest-synthetic-2026,B02,B02-M03,B,떡볶이,food,5000,2273,156,0.887,175.4,0.994,0.92,SYNTHETIC_MASTER
zerofest-synthetic-2026,B02,B02-M04,B,에이드,drink,4000,1720,189,0.894,211.3,0.994,1.1,SYNTHETIC_MASTER
zerofest-synthetic-2026,B03,B03-M01,C,쿠키,dessert,3000,1548,130,1.361,95.7,0.779,0.64,SYNTHETIC_MASTER
zerofest-synthetic-2026,B03,B03-M02,C,핫도그,food,4500,1834,180,1.419,127.1,0.779,0.85,SYNTHETIC_MASTER
zerofest-synthetic-2026,B03,B03-M03,C,커피,drink,3000,1591,141,1.173,120.5,0.779,0.8,SYNTHETIC_MASTER
zerofest-synthetic-2026,B03,B03-M04,C,쿠키,dessert,3000,1639,133,1.385,95.7,0.779,0.64,SYNTHETIC_MASTER
zerofest-synthetic-2026,B04,B04-M01,D,닭꼬치,food,6000,2794,227,1.32,172.1,0.897,1.0,SYNTHETIC_MASTER
zerofest-synthetic-2026,B04,B04-M02,D,아이스티,drink,3500,1521,205,1.093,187.3,0.897,1.08,SYNTHETIC_MASTER
zerofest-synthetic-2026,B04,B04-M03,D,와플,dessert,4500,2106,122,0.96,127.4,0.897,0.74,SYNTHETIC_MASTER
zerofest-synthetic-2026,B04,B04-M04,D,닭꼬치,food,6000,2671,207,1.205,172.1,0.897,1.0,SYNTHETIC_MASTER
zerofest-synthetic-2026,B05,B05-M01,A,에이드,drink,4000,2180,197,1.029,191.4,0.9,1.1,SYNTHETIC_MASTER
zerofest-synthetic-2026,B05,B05-M02,A,츄러스,dessert,4000,2131,130,1.074,120.9,0.9,0.7,SYNTHETIC_MASTER
zerofest-synthetic-2026,B05,B05-M03,A,떡볶이,food,5000,2680,154,0.967,158.9,0.9,0.92,SYNTHETIC_MASTER
zerofest-synthetic-2026,B05,B05-M04,A,에이드,drink,4000,2002,267,1.397,191.4,0.9,1.1,SYNTHETIC_MASTER
zerofest-synthetic-2026,B06,B06-M01,B,쿠키,dessert,3000,1238,177,1.172,150.8,1.228,0.64,SYNTHETIC_MASTER
zerofest-synthetic-2026,B06,B06-M02,B,핫도그,food,4500,2449,289,1.444,200.2,1.228,0.85,SYNTHETIC_MASTER
zerofest-synthetic-2026,B06,B06-M03,B,커피,drink,3000,1291,182,0.958,189.9,1.228,0.8,SYNTHETIC_MASTER
zerofest-synthetic-2026,B06,B06-M04,B,쿠키,dessert,3000,1140,173,1.147,150.8,1.228,0.64,SYNTHETIC_MASTER
zerofest-synthetic-2026,B07,B07-M01,C,닭꼬치,food,6000,2450,208,0.932,223.6,1.165,1.0,SYNTHETIC_MASTER
zerofest-synthetic-2026,B07,B07-M02,C,아이스티,drink,3500,1550,235,0.965,243.3,1.165,1.08,SYNTHETIC_MASTER
zerofest-synthetic-2026,B07,B07-M03,C,와플,dessert,4500,2387,192,1.161,165.5,1.165,0.74,SYNTHETIC_MASTER
zerofest-synthetic-2026,B07,B07-M04,C,닭꼬치,food,6000,2880,300,1.34,223.6,1.165,1.0,SYNTHETIC_MASTER
zerofest-synthetic-2026,B08,B08-M01,D,에이드,drink,4000,2177,356,1.405,253.6,1.193,1.1,SYNTHETIC_MASTER
zerofest-synthetic-2026,B08,B08-M02,D,츄러스,dessert,4000,2191,158,0.983,160.2,1.193,0.7,SYNTHETIC_MASTER
zerofest-synthetic-2026,B08,B08-M03,D,떡볶이,food,5000,2716,202,0.959,210.6,1.193,0.92,SYNTHETIC_MASTER
zerofest-synthetic-2026,B08,B08-M04,D,에이드,drink,4000,1834,221,0.87,253.6,1.193,1.1,SYNTHETIC_MASTER
zerofest-synthetic-2026,B09,B09-M01,A,쿠키,dessert,3000,1587,156,1.292,120.6,0.982,0.64,SYNTHETIC_MASTER
zerofest-synthetic-2026,B09,B09-M02,A,핫도그,food,4500,2146,161,1.002,160.2,0.982,0.85,SYNTHETIC_MASTER
zerofest-synthetic-2026,B09,B09-M03,A,커피,drink,3000,1511,210,1.383,151.9,0.982,0.8,SYNTHETIC_MASTER
zerofest-synthetic-2026,B09,B09-M04,A,쿠키,dessert,3000,1575,139,1.149,120.6,0.982,0.64,SYNTHETIC_MASTER
zerofest-synthetic-2026,B10,B10-M01,B,닭꼬치,food,6000,2757,338,1.398,241.6,1.259,1.0,SYNTHETIC_MASTER
zerofest-synthetic-2026,B10,B10-M02,B,아이스티,drink,3500,1882,318,1.209,262.9,1.259,1.08,SYNTHETIC_MASTER
zerofest-synthetic-2026,B10,B10-M03,B,와플,dessert,4500,1775,152,0.85,178.8,1.259,0.74,SYNTHETIC_MASTER
zerofest-synthetic-2026,B10,B10-M04,B,닭꼬치,food,6000,3051,298,1.233,241.6,1.259,1.0,SYNTHETIC_MASTER
zerofest-synthetic-2026,B11,B11-M01,C,에이드,drink,4000,1521,214,1.118,191.2,0.899,1.1,SYNTHETIC_MASTER
